,read,comment,title,time
0,432,1,终于有人呼吁b股转a了，视频号检索下面关键字。刘纪鹏：证券市场发展33年，仍有很,10-17 08:09
1,1534,8,《华电》……华电是我幸运股，每次买入都赚钱。今天马上买一点，再试手气怎么样？,09-19 01:25
2,281,0,华电B股10月19日盘中跌幅达5%,10-19 10:36
3,3276,5,华电B，华电能源（A）,08-07 06:05
4,513,0,[看多][偷笑],10-13 09:54
5,566,0,浙能(600023900949)预计前三季度实现净利润52.47亿元-66.78,10-13 03:52
6,612,0,[看多],10-10 03:33
7,1676,5,顶多2周，现在还卖出的人必将悔断肠,09-19 12:15
8,1177,0,今天0.128买了一成,09-25 10:17
9,1565,1,公司本来就最北方，领导层也不关心，一心想涨工资。看看都跌成狗了。,09-20 07:57
10,1426,4,0.133买入,09-18 09:45
11,1282,0,连续跌了两个月了。。。。,09-21 10:31
12,1307,0,公司还在运营吗？,09-20 12:29
13,4985,49,华电煤业240亿吨储量5000万吨产能,01-02 03:03
14,1392,0,周线级别沿着布林带下轨往下，前期低点已破，下方下跌通道已打开。就现在B的流动性，,09-18 03:02
15,1366,0,谁在做空央企？严查,09-18 11:23
16,1486,0,0.133,09-13 10:23
17,1604,0,怎么没有所属板块？,09-09 10:00
18,1529,0,0.133买入,09-08 10:27
19,1562,0,今天挂单0.137买入[偷笑],09-07 04:36
20,1541,0,准备买入[鼓掌],09-07 02:12
21,1646,0,还是老观点，华电能源如果真的遵守承诺，涨幅则不可限量。,09-06 01:07
22,1734,1,人工智能炒股票(量化)，不给股民休渔期,09-02 06:28
23,1935,2,俄罗斯进口5500千卡的煤，离岸价150美元。同样的煤，印度尼西亚2100美元。,08-27 08:20
24,1799,1,0.15见，不见不散,07-06 11:41
25,1745,1,[吃瓜][吃瓜][吃瓜],08-31 02:33
26,1731,0,让B股大盘给带崩了，A股都红了快醒醒吧,08-31 02:19
27,1666,0,华电B股8月31日盘中跌幅达5%,08-31 01:14
28,1741,0,开始[看空],08-31 09:43
29,1720,0,华电B股8月28日开盘涨幅达5%,08-28 09:41
30,1662,0,华电B股8月28日快速上涨,08-28 09:41
31,1871,0,静等0.15,08-23 09:54
32,2264,0,0.167美元大概1.19元，不如一斤西瓜值钱。__昨天买了香瓜，10块钱3斤，,08-11 03:27
33,2684,8,风能转电，光能转电，水能转电是可持续性的绿电好方向！,08-01 11:48
34,2366,2,今天a股2.64，正常情况下，b股应该0.264左右，被严重低估了。,08-01 11:51
35,2403,1,老铁们好：今天是23年8月1日，是中国人民解放军建军节，我在看华电B股，这只股票,08-01 01:39
36,2304,0,要起飞了,08-01 02:30
37,2333,4,老铁们好:华电B股，是不是要上涨呀？我拿这只股票两年了，是不是要上一个台阶能超过,07-14 02:13
38,2319,2,央企重组垃圾桶,07-25 05:54
39,2268,4,为华电B，广而宣之,07-24 10:50
40,2399,0,僵尸股，央企木乃伊,07-26 09:36
41,2242,0,央企股,07-24 02:48
42,2361,1,这个价买着就放着，看都不用看，该干嘛干嘛去！[呲牙],07-21 08:52
43,2220,3,买你就跌,07-20 02:45
44,2201,0,先到0.2美元再说,07-15 09:25
45,2195,5,我在137处等你,07-12 01:50
46,2066,0,这里有港仔吗[呲牙],07-10 11:57
